Variable	varimp	roc	gene
AC092835.2	0.0784453550747142	5.71746171579375	SFTPC
ADNP	0.0860809739064711	5.53465811855028	SFTPC
ADNP2	0.0842419490259461	4.30363231540036	SFTPC
AEBP1	0.0768377568719056	7.91559902814469	SFTPC
AEBP2	0.074797543688293	3.79223797050048	SFTPC
AHCTF1	0.0766923248939481	2.08135000254814	SFTPC
AHDC1	0.0875804640199383	3.85521033011014	SFTPC
AHR	0.073271026034554	5.3355132150479	SFTPC
AHRR	0.0684285190021006	1.05655530108187	SFTPC
AIRE	0.0809081567695018	5.18948729071952	SFTPC
AKAP8	0.0721589851279288	10.7097463757344	SFTPC
AKAP8L	0.0845715679825205	1.39443469275998	SFTPC
AKNA	0.109533542497472	0.601912422923758	SFTPC
ALX1	0.0895554201915751	0.0692152407699686	SFTPC
ALX3	0.0804595278879574	0.780842177452959	SFTPC
ALX4	0.0885736023900855	1.40118569563021	SFTPC
ANHX	0.0744295957174528	2.23258072261159	SFTPC
ANKZF1	0.0751991972707865	0.264841024298838	SFTPC
AR	0.0635086605852034	0.594943817456153	SFTPC
ARHGAP35	0.0880598487532393	19.942791562824	SFTPC
ARID2	0.0814112064735665	0.74837096639479	SFTPC
ARID3A	0.0870313472069386	5.62596311360281	SFTPC
ARID3B	0.0819205106364065	3.59623585447024	SFTPC
ARID3C	0.0822947106603868	0.842458998159892	SFTPC
ARID5A	0.116169277722603	8.92313655555678	SFTPC
ARID5B	0.125187213274771	5.59759384907687	SFTPC
ARNT	0.110574088464309	0.122594716865439	SFTPC
ARNT2	0.0764707662682678	9.26572172695376	SFTPC
ARNTL	0.0811415116342209	4.54841657041763	SFTPC
ARNTL2	0.142059943162173	2.71968564201491	SFTPC
ARX	0.115002462306889	1.05425004280589	SFTPC
ASCL1	0.116083176216567	3.76207843723099	SFTPC
ASCL2	0.0688854239882701	6.58452562589039	SFTPC
ASCL3	0.0414295708645407	0.957904902068611	SFTPC
ASCL4	0.074990795469493	3.14933994964915	SFTPC
ASCL5	0.0788419796912807	4.70511583043162	SFTPC
ASH1L	0.0989699051249139	5.16273257095386	SFTPC
ATF1	0.107590354091149	5.46142060544876	SFTPC
ATF2	0.0841091116394913	0.729259346039408	SFTPC
